#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
268			Se o município local da prestação do serviço de obra foi informado (cMunPrestacao foi informado), então o grupo de informações de endereço no exterior não pode ser informado.		Obrig.	Rej.	E0386	O grupo de informações de endereço da atividade de obra ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.	1	V	X	V	X	-
269	NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/	cEndPost	-		-	-	-		-	-	-	-	-	-
270	NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/	xCidade	-		-	-	-		-	-	-	-	-	-
271	NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/	xEstProvReg	-		-	-	-		-	-	-	-	-	-
272	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	xLgr	-		-	-	-		-	-	-	-	-	-
273	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	nro	-		-	-	-		-	-	-	-	-	-
274	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	xCpl	-		-	-	-		-	-	-	-	-	-
275	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	xBairro	-		-	-	-		-	-	-	-	-	-
276	NFSe/infNFSe/DPS/infDPS/serv/	atvEvento	Se o código de tributação nacional pertencer ao item 12 da lista de serviços, então o grupo de informações de Atividade/Evento é obrigatório.		Obrig.	Rej.	E0390	O grupo de informações de Atividade/Evento é obrigatório quando o código de tributação nacional pertencer ao item 12 da lista de serviços.	1	V	X	V	X	-
277			Se o código de tributação nacional não pertencer ao item 12 da lista de serviços, então o grupo de informações de Atividade/Evento não é permitido. *Exceção: O grupo de informações de Atividade/Evento pode ser informado se o código de tributação nacional for o 99.01.01.		Obrig.	Rej.	E0392	O grupo de informações de Atividade/Evento não é permitido quando o código de tributação nacional não pertencer ao item 12 da lista de serviços, com exceção do código 99.01.01.	1	V	X	V	X	-
278	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	xNome	-		-	-	-	-	-	-	-	-	-	-
279	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	dtIni	-		-	-	-	-	-	-	-	-	-	-
280	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	dtFim	-		-	-	-	-	-	-	-	-	-	-
281	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	idAtvEvt	-		-	-	-	-	-	-	-	-	-	-
282	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	end	-		-	-	-	-	-	-	-	-	-	-
283	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	CEP	Se o município local da prestação da atividade de evento foi informado (cMunPrestacao foi informado), então o CEP deve ser informado e pertencer a este município.		Obrig.	Rej.	E0398	Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da atividade ou evento.	1	V	X	V	X	-
284			Se o pais local da prestação da atividade de evento foi informado (cPaisPrestacao foi informado), então o CEP não deve ser informado.		Obrig.	Rej.	E0400	O CEP não deve ser informado quando o endereço da atividade de evento ocorrer no exterior do país.	1	V	X	V	X	-
285	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	endExt	Se o pais da prestação da atividade de evento foi informado (cPaisPrestacao foi informado), então o grupo de informações do endereço no exterior deve ser informado.		Obrig.	Rej.	E0402	O grupo de informações de endereço da atividade de evento ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.	1	V	X	V	X	-
286			Se o município local da prestação da atividade de evento foi informado (cMunPrestacao foi informado), então o grupo de informações  do endereço no exterior não deve ser informado.		Obrig.	Rej.	E0404	O grupo de informações de endereço da atividade de evento ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.	1	V	X	V	X	-
287	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
288	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
289	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/	xEstProvReg	-		-	-	-	-	-	-	-	-	-	-
290	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	xLgr	-		-	-	-	-	-	-	-	-	-	-
291	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	nro	-		-	-	-	-	-	-	-	-	-	-
292	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	xCpl	-		-	-	-	-	-	-	-	-	-	-
293	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	xBairro	-		-	-	-	-	-	-	-	-	-	-
294	NFSe/infNFSe/DPS/infDPS/serv	infoComplem	-		-	-	-	-	-	-	-	-	-	-
295	NFSe/infNFSe/DPS/infDPS/serv/	idDocTec	-		-	-	-	-	-	-	-	-	-	-
296	NFSe/infNFSe/DPS/infDPS/serv/	docRef	Quando o emitente da DPS for o tomador ou o intermediário do serviço (tpEmit = 2  ou 3, respectivamente) este campo deve ser obrigatoriamente informado.		Obrig.	Rej.	E0420	O documento de referência deve ser obrigatoriamente informado quando o emitente da DPS for o tomador ou intermediário do serviço.	1	V	X	V	X	-
297	NFSe/infNFSe/DPS/infDPS/serv/	xInfComp	-		-	-		-	-	-	-	-	-	-
298	NFSe/infNFSe/DPS/infDPS/	valores	-		-	-		-	-	-	-	-	-	-
299	NFSe/infNFSe/DPS/infDPS/valores/	vServPrest	-		-	-		-	-	-	-	-	-	-
300	NFSe/infNFSe/DPS/infDPS/valores/vServPrest/	vReceb	O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS (tpEmit = 3).		Obrig.	Rej.	E0423	O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS.	1	V	X	V	X	-
301			O valor recebido não deve ser informado na DPS quando o prestador ou tomador do serviço for o emitente da DPS  (tpEmit = 1 ou tpEmit = 2).		Obrig.	Rej.	E0424	O valor recebido não deve ser informado na DPS quando o prestador ou tomador do serviço for o emitente da DPS.	1	V	X	V	X	-
302			O valor recebido não pode ser menor que o valor do serviço informado na DPS.		Obrig.	Rej.	E0425	O valor recebido não pode ser menor que o valor do serviço informado na DPS.	1	V	X	V	X	-
303	NFSe/infNFSe/DPS/infDPS/valores/vServPrest/	vServ	vDR é: um valor informado pelo emitente para dedução/redução da BC do ISSQN;  vCalcDR é: o cálculo do valor de dedução/redução da BC do ISSQN:  1) Quando o valor de dedução/redução for apurado a partir de um percentual informado na DPS, calcular este percentual sobre o valor do serviço já abatido o valor do desconto incondicionado. Ex:  Valor de dedução/redução = (Valor do serviço - valor desconto incodicional) x  % de dedução/redução.  VServ >= desconto incondicionado + Valor de dedução/redução  2) Quando um ou mais documentos são informados pelo emitente na DPS para dedução/redução da BC do ISSQN.  Neste caso o resultado do somatório é o valor deste campo do leiaute NFS-e;  ---------------------------  vInfoBM é: um valor informado pelo emitente para reduzir a BC do ISSQN;  VCalcBM é: o cálculo do valor de redução da BC do ISSQN a partir de benefício municipal:  1) Quando o valor do benefício municipal for apurado a partir de um percentual parametrizado para redução da base de cálculo, aplicar o percentual parametrizado sobre o valor do serviço já abatidos os valores do desconto incondicionado e dedução/redução.  Ex:  Valor de benefício municipal = (Valor do serviço - valor desconto incodicional - valor de dedução/redução) x % de benefício municipal.  VServ >= desconto incondicionado + Valor de dedução/redução + valor de benefício municipal.  2) Quando um valor monetário de benefício municipal é informado pelo emitente na DPS para redução da BC do ISSQN.	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Deduções/Reduções e Benefício Municipal.  Valor do Serviço >= Desconto Incondicionado + Deduções/Reduções + Benefício Municipal  vServ >= descIncond + (vDR ou vCalcDR) + (vRedBCBM ou VCalcBM)	Obrig.	Rej.	E0427	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Deduções/Reduções e Benefício Municipal.	2	V	X	V	X	-
304				O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduções/Reduções, Benefício Municipal, valores de tributos devidos (CP, IRRF, CSLL), e valores dos tributos se retidos (PIS, COFINS, ISSQN).  Valor do serviço >= Desconto condicionado + Desconto incondicionado + (CP, IRRF, CSLL)* + Valores, se retidos (ISSQN, PIS, COFINS)**  vServ >= vDescIncond + vDescCond + (vRetCP + vRetIRRF + vRetCSLL)* + Se Retidos (vISSQN + vPIS + vCOFINS)**  *Para o resultado do Valor Líquido o CP, IRRF e CSLL serão sempre subtraídos, se constarem na DPS, pois sempre são retidos.  **Para o resultado do Valor Líquido o ISSQN, PIS e COFINS somente serão subtraídos quando forem retidos.	Obrig.	Rej.	E0428	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduções/Reduções, Benefício Municipal, valores de tributos devidos (CP, IRRF, CSLL), e valores dos tributos se retidos (PIS, COFINS, ISSQN).	2	V	X	V	X	-
305				O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem os subitens 7.02, 7.05 e 16.01 da lista anexa a LC 116/03.  O valor da base de cálculo do ISSQN da NFS-e é encontrada a partir de valores que constam na DPS através do seguinte cálculo:  Valor da Base de Cálculo do ISSQN = Valor do Serviço - Desconto Incondicionado - Deduções/Reduções - Benefício Municipal  vBC = vServ - descIncond - (vDR ou vCalcDR) - (vInfoBM ou VCalcBM)	Obrig.	Rej.	E0429	O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem os subitens 7.02, 7.05 e 16.01 da lista anexa a LC 116/03."	2	V	X	V	X	-
306	NFSe/infNFSe/DPS/infDPS/valores/	vDescCondIncond	-		-	-	-	-	-	-	-	-	-	-
307	NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/	vDescIncond	Verificar o valor do desconto incondicionado informado na DPS que deve ser menor que o valor do serviço e maior que zero.		Obrig.	Rej.	E0431	O valor do desconto incondicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.	2	V	X	V	X	-
308			O valor do desconto incondicionado informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços 7.02, 7.05 e 16.01.		Obrig.	Rej.	E0430	O valor do desconto incondicionado municipal informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços 7.02, 7.05 e 16.01.	2	V	X	X	X	
309	NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/	vDescCond	Verificar se o valor do desconto condicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.		Obrig.	Rej.	E0432	O valor do desconto condicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.	2	V	X	V	X	-
310	NFSe/infNFSe/DPS/infDPS/valores/	vDedRed	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN quando ocorrer "Imunidade" (tribISSQN = 2), "Exportação de serviço" (tribISSQN = 3) ou "Não incidência" (tribISSQN = 4), ou seja, tpRetISSQN tem que ser igual a 1 (tpRetISSQN = 1).		Obrig.	Rej.	E0435	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN quando ocorrer Imunidade, Exportação do serviço ou Não incidência.	2	V	X	V	X	-
311			Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN quando o prestador do serviço é MEI (opSimpNac = 2).		Obrig.	Rej.	E0436	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN quando o prestador de serviço é MEI.	2	V	X	V	X	-
312			Não é permitidoo preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN, quando estiver indicado na DPS que a tributação do ISSQN está com sua exigibilidade suspensa, seja administrativamente ou judicialmente, ou seja, o campo que indica a suspensão da exigibilidade está informado na DPS (tpSUSP = 1 ou 2).		Obrig.	Rej.	E0437	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN, quando estiver indicado na DPS que a tributação do ISSQN está com sua exigibilidade suspensa, seja administrativamente ou judicialmente.	2	V	X	V	X	-
313			Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN, quando o prestador de serviço tiver um regime especial de tributação, ou seja, o campo que indica o regime especial de tributação é diferente de 0, (regEspTrib = 1, 2, 3, 4, 5 ou 6).		Obrig.	Rej.	E0438	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN, quando o prestador de serviço tiver algum regime especial de tributação.	2	V	X	V	X	-
314			Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN, quando o benefício municipal informado na DPS for do tipo "Isenção".		Obrig.	Rej.	E0439	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN, quando o benefício municipal informado na DPS for do tipo "Isenção".	2	V	X	V	X	-
315			Se o prestador de serviço não for optante do Simples Nacional (opSimpNac = 1) e a situação do convênio do município de incidência do ISSQN no Sistema Nacional NFS-e for "Ativo", então o sistema permite informações de dedução/redução, conforme admissões dos tipos de dedução/redução nas parametrizações dos respectivos códigos de serviço administrado pelo municipio de incidência do ISSQN no Sistema Nacional NFS-e.		Obrig.	Rej.	E0440	O tipo de dedução/redução informado na DPS não é permitida pelo município de incidência do ISSQN, conforme parametrizações do código de serviço do município de incidência.	2	V	X	X	X	-
316			Se o prestador do serviço é ME/EPP (opSimpNac = 3), o regime de apuração ocorre pelo SN (regApTribSN = 1) e o municipio de incidência está "Ativo",  então não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução,  exceto quando o código de tributação nacional (cTribNac) corresponder aos subitens 06.01, 06.02, 07.02 e 07.05.   Neste cenário, o sistema verifica a parametrização e permite o preenchimento das informações conforme admissões dos tipos de dedução/redução nas parametrizações destes respectivos códigos de serviço (06.01, 06.02, 07.02 e 07.05), administradas pelo municipio de incidência do ISSQN no Sistema Nacional NFS-e.		Obrig.	Rej.	E0441	Não é permitido o preenchimento de informações relativas à Dedução/Redução para o prestador de serviço ME/EPP, apurando pelo SN conforme parametrização do código de serviço admnistrado pelo municipio de incidência do ISSQN.	2	V	X	X	X	-
317			Se o prestador do serviço é ME/EPP (opSimpNac = 3), o regime de apuração ocorre pelo SN (regApTribSN = 1) e o municipio de incidência não está "Ativo",  então não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução,  exceto quando o código de tributação nacional (cTribNac) corresponder aos subitens 06.01, 06.02, 07.02 e 07.05.  		Obrig.	Rej.	E0442	O tipo de dedução/redução informado na DPS não é permitida para o prestador de serviço ME/EPP, apurando pelo SN.	2	V	X	V	X	-
319	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/	pDR	Se informado, o valor percentual para dedução/redução deve ser maior 0 e menor ou igual a 100%.		Obrig.	Rej.	E0453	O valor percentual para dedução/redução deve ser maior que 0 e menor ou igual a 100%.	1	V	X	V	X	-
320			Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por percentual, conforme parametrização do município de incidência conveniado ao Sistema Nacional NFS-e.		Obrig.	Rej.	E0454	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por percentual.	3	V	X	X	X	-
Err:504			O valor percentual  de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços 7.02, 7.05 e 16.01.		Obrig.	Rej.	E0444	O valor percentual  de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços 7.02, 7.05 e 16.01.	2	V	X	X	X	-
321	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/	vDR	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por valor monetário, conforme parametrização do município de incidência conveniado ao Sistema Nacional NFS-e.		Obrig.	Rej.	E0446	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por valor monetário.	3	V	X	X	X	-
322			O valor de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços 7.02, 7.05 e 16.01.		Obrig.	Rej.	E0447	O valor de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços 7.02, 7.05 e 16.01.	2	V	X	X	X	-
323	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/	documentos	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por documentos, conforme parametrização do município de incidência conveniado ao Sistema Nacional NFS-e.		Obrig.	Rej.	E0449	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por documento informado.	3	V	X	X	X	-
324	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos	docDedRed	-		-	-	-	-	-	-	-	-	-	-
325	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	chNFSe	Chave de NFS-e inválida.  1 - Verificar DV da chave de NFS-e informada neste campo desta DPS;		Obrig.	Rej.	E0455	Informe uma chave de NFS-e válida.	1	V	X	V	X	-
326			Chave de NFS-e inexistente.		Obrig.	Rej.	E0456	NFS-e não existe na base de dados do autorizador de NFS-e nacional. Informe uma chave de NFS-e existente.	1	V	X	V	X	-
327			NFS-e da chave informada está cancelada.		Obrig.	Rej.	E0458	Uma NFS-e cancelada não pode ser informada para dedução/redução.	2	V	X	X	X	-
328	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	chNFe	Chave de NF-e inválida.  1 - Verificar DV da chave de NF-e informada neste campo desta DPS;		Obrig.	Rej.	E0460	Informe uma chave de NF-e válida.	1	V	X	V	X	-
329			Chave de NF-e inexistente.		Obrig.	Rej.	E0462	NF-e não existe na base de dados do autorizador de NF-e nacional. Informe uma chave de NF-e existente.	2	V	X	X	X	-
330			NF-e da chave informada está cancelada.		Obrig.	Rej.	E0464	Uma NF-e cancelada não pode ser informada para dedução/redução.	2	V	X	X	X	-
331	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	NFSeMun	-		-	-		-	-	-	-	-	-	-
332	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/	cMunNFSeMun	O código do município informado para o documento de nota não existe, conforme tabela de municípios do IBGE.		Obrig.	Rej.	E0466	Informe um código de município existente para o documento de nota, conforme tabela de municípios do IBGE.	1	V	V	V	V	-
333	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/	nNFSeMun	-		-	-		-	-	-	-	-	-	-
334	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/	cVerifNFSeMun	-		-	-		-	-	-	-	-	-	-
335	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	NFNFS	-		-	-		-	-	-	-	-	-	-
336	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/	nNFS	-		-	-		-	-	-	-	-	-	-
337	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/	modNFS	-		-	-		-	-	-	-	-	-	-
338	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/	serieNFS	-		-	-		-	-	-	-	-	-	-
339	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	nDocFisc	 		-	-		-	-	-	-	-	-	-
340	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	nDoc	-		-	-		-	-	-	-	-	-	-
341	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	tpDedRed	-		-	-		-	-	-	-	-	-	-
342	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	xDescOutDed	O campo de descrição deve ser informado no caso de tpDedRed igual a 99 – Outras deduções.		Obrig.	Rej.	E0468	Informar, obrigatoriamente, o campo de descrição no caso ideDedRed igual a 99 – Outras deduções.	2	V	X	V	X	-
343			O campo de descrição não deve ser informado no caso de tpDedRed diferente de 99 – Outras deduções.		Obrig.	Rej.	E0470	Não informar o campo de descrição no caso ideDedRed diferente a 99 – Outras deduções.	2	V	X	V	X	-
344	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	dEmiDoc	 A data de emissão do documento informado na DPS não pode ser posterior à data de competência da DPS.		Obrig.	Rej.	E0472	A data de emissão do documento informado na DPS não pode ser posterior à data de competência da DPS.	1	V	X	V	X	-
345	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	vDedutivelRedutivel	-		-	-	-	-	-	-	-	-	-	-
346	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	vDeducaoReducao	O valor de dedução/redução não pode ser superior ao valor dedutível/redutível.		Obrig.	Rej.	E0474	O valor de dedução/redução não pode ser superior ao valor dedutível/redutível.	2	V	X	V	X	-
347			O valor de dedução/redução informado na DPS não pode ser superior ao valor do serviço.		Obrig.	Rej.	E0476	O valor de dedução/redução informado na DPS não pode ser superior ao valor do serviço.	2	V	X	V	X	-
348	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/	fornec	O grupo de informações para o fornecedor deve ser informado obrigatoriamente para todos os tipos de documentos informados, exceto para os tipos de documentos NFS-e e NF-e padrões nacionais.		Obrig.	Rej.	E0477	O grupo de informações para o fornecedor deve ser informado obrigatoriamente para o tipo de documento de dedução/redução informado na DPS.	2	V	X	V	X	-
349	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	CNPJ	CNPJ informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0478	CNPJ do fornecedor informado na DPS é inválido.	1	V	V	V	V	-
350			CNPJ informado na DPS é inexistente no cadastro CNPJ.		Obrig.	Rej.	E0482	CNPJ do fornecedor informado na DPS não encontrado no cadastro CNPJ.	1	V	X	X	X	-
351	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	CPF	CPF informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0484	CPF do fornecedor informado na DPS é inválido.	1	V	V	V	V	-
352			CPF informado na DPS é inexistente no cadastro CPF.		Obrig.	Rej.	E0488	CPF do fornecedor informado na DPS não encontrado no cadastro CPF.	1	V	X	X	X	-
353	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	NIF	-		-	-	-	-	-	-	-	-	-	-
354			Se o grupo de informações de endereço no exterior do fornecedor de serviços foi informado então o NIF ou cNaoNIF do fornecedor deve ser informado.		Obrig.	Rej.	E1538	O NIF ou cNaoNIF do fornecedor deve ser informado quando o grupo de informações de endereço no exterior do fornecedor de serviços for informado.	1	V	X	V	X	-
355	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	cNaoNIF				Rej.								-
356			Se o valor do campo cNaoNIF do fornecedor, informado na DPS, for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0490	Valor 0 para o motivo da não informação do NIF do fornecedor não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
357	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	CAEPF	-		-	-	-	-	-	-	-	-	-	-
358	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	IM	-		-	-	-	-	-	-	-	-	-	-
359	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	xNome	-		-	-	-	-	-	-	-	-	-	-
360	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/	endFornec	-		-	-	-	-	-	-	-	-	-	-
361	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/	endNac	Se CNPJ ou CPF do fornecedor for informado, então o grupo de informaçoes de endereço nacional do fornecedor deve ser informado obrigatoriamente.     		Obrig.	Rej.	E0492	O grupo de informações de endereço nacional deve ser informado obrigatoriamente quando o fornecedor for identificado pelo CPF ou CNPJ.	1	V	X	V	X	-
362	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endNac/	cMun	O código do município informado para o endereço do fornecedor não existe, conforme tabela de municípios do IBGE.		Obrig.	Rej.	E0494	O código do município informado na DPS para o endereço do fornecedor do serviço não existe conforme tabela de município do IBGE.	1	V	V	V	V	-
363	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endNac/	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do fornecedor.		Obrig.	Rej.	E0496	O CEP informado para o endereço nacional do fornecedor não existe ou não pertence ao município do endereço do fornecedor.	1	V	X	V	X	-
364	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/	endExt	Se o NIF do fornecedor foi informado, então o grupo de informações de endereço no exterior do fornecedor deve ser informado obrigatoriamente.		Obrig.	Rej.	E0498	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o fornecedor for identificado pelo NIF.	1	V	X	V	X	-
365	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/	cPais	O código de país informado para o endereço no exterior do fornecedor deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.		Obrig.	Rej.	E0499	O código de país informado para o endereço no exterior do fornecedor não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do fornecedor, conforme tabela de país ISO2.	1	V	V	V	V	-
366	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
367	NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
